"Bookings","","","","","","",""
"Booking ID","Item","Start Time","Start Date","# of Pax","Total","Net Revenue Collected","Affiliate"
"#138717553","MADTRESC","08:00am","2022-10-05","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#137049147","MADTRESC","08:00am","2022-10-05","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#135966539","MADTRESC","08:00am","2022-10-05","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#134267961","MADTRESC","08:00am","2022-10-05","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141070177","LISTRESC","08:00am","2022-10-05","2","€199.98","€149.98","GetYourGuide - EUR"
"#141028623","BCNMOHAM","08:30am","2022-10-05","5","€314.95","€188.95","TripAdvisor Experiences/Viator - EUR"
"#141028580","BCNMOHAM","08:30am","2022-10-05","5","€314.95","€188.95","TripAdvisor Experiences/Viator - EUR"
"#140842319","BCNMOHAM","08:30am","2022-10-05","1","€59.99","€38.99","GetYourGuide - EUR"
"#140317398","BCNMOHAM","08:30am","2022-10-05","2","€125.98","€98.26","Project Expedition - EUR"
"#140612324","BCNMORAM/PM","08:30am","2022-10-05","4","€439.96","€351.96","Airbnb"
"#140499674","BCNMORAM/PM","08:30am","2022-10-05","1","€109.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#140491681","BCNMORAM/PM","08:30am","2022-10-05","2","€219.98","€175.98","Airbnb"
"#141047273","LISEBIAM","09:00am","2022-10-05","2","€99.98","€69.98","GetYourGuide - EUR"
"#141144750","LISSKYAM","09:00am","2022-10-05","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#140594128","LISSKYAM","09:00am","2022-10-05","2","€239.98","€143.98","TripAdvisor Experiences/Viator - EUR"
"#134440690","LISSKYAM","09:00am","2022-10-05","1","€119.99","€89.99","Civitatis - EUR"
"#139069533","LISWINES","09:00am","2022-10-05","1","€99.99","€69.99","GetYourGuide - EUR"
"#138757464","LISWINES","09:00am","2022-10-05","2","€199.98","€139.98","GetYourGuide - EUR"
"#141133377","BCNPENAM/PM","09:00am","2022-10-05","2","€219.98","€153.98","GetYourGuide - EUR"
"#139922629","BCNPENAM/PM","09:00am","2022-10-05","2","€219.98","€153.98","GetYourGuide - EUR"
"#139492818","BCNPENAM/PM","09:00am","2022-10-05","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#138928313","BCNPENAM/PM","09:00am","2022-10-05","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#141397296","MADTOWIN","09:00am","2022-10-05","2","€159.98","€111.98","GetYourGuide - EUR"
"#140667030","MADTOWIN","09:00am","2022-10-05","2","€159.98","€124.78","Project Expedition - EUR"
"#140205225","MADTOWIN","09:00am","2022-10-05","3","€239.97","€167.97","TripAdvisor Experiences/Viator - EUR"
"#140481267","BCNSKYAM/PM","09:30am","2022-10-05","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#136387378","BCNSKYAM/PM","09:30am","2022-10-05","1","€129.99","€98.79","GetYourGuide - EUR"
"#135370262","BCNSKYAM/PM","09:30am","2022-10-05","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#108566961","TM-BCNGOFTR","09:30am","2022-10-05","1","€990.00","€841.50","Tours for You"
"#140967829","BCNEBIAM/PM","10:00am","2022-10-05","3","€179.97","€134.97","Expedia.com - EUR"
"#140967758","BCNEBIAM/PM","10:00am","2022-10-05","3","€179.97","€134.97","Expedia.com - EUR"
"#140967757","BCNEBIAM/PM","10:00am","2022-10-05","3","€179.97","€134.97","Expedia.com - EUR"
"#138945842","BCNEBIAM/PM","10:00am","2022-10-05","2","€119.98","€91.18","GetYourGuide - EUR"
"#135684609","BCNEBIAM/PM","10:00am","2022-10-05","1","€59.99","€44.21","TripAdvisor Experiences/Viator - EUR"
"#138914775","TM-BCNGOFTR","10:00am","2022-10-05","1","€545.00","€463.25","Tours for You"
"#141351655","BCNALESA/PM","10:00am","2022-10-05","6","€719.94","€511.14","TripAdvisor Experiences/Viator - EUR"
"#140332104","BCNALESA/PM","10:00am","2022-10-05","3","€359.97","€255.57","TripAdvisor Experiences/Viator - EUR"
"#137216790","BCNALESA/PM","10:00am","2022-10-05","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#131589822","BCNALESA/PM","10:00am","2022-10-05","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141403701","BCNMOOIL","10:45am","2022-10-05","2","€169.98","€118.98","GetYourGuide - EUR"
"#140788094","BCNMOOIL","10:45am","2022-10-05","2","€169.98","€118.98","GetYourGuide - EUR"
"#133295370","BCNMOOIL","10:45am","2022-10-05","1","€84.99","€59.49","GetYourGuide - EUR"
"#141185829","BCNSKYAM/PM","03:00pm","2022-10-05","1","€129.99","€98.79","GetYourGuide - EUR"
"#141109959","BCNSKYAM/PM","03:00pm","2022-10-05","1","€129.99","€98.79","GetYourGuide - EUR"
"#139117730","BCNSKYAM/PM","03:00pm","2022-10-05","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140990877","BCNBOFLA","06:00pm","2022-10-05","1","€84.99","€62.72","TripAdvisor Experiences/Viator - EUR"
"#140864414","BCNBOFLA","06:00pm","2022-10-05","2","€169.98","€125.44","TripAdvisor Experiences/Viator - EUR"
"#136985996","BCNBOFLA","06:00pm","2022-10-05","2","€135.98","€100.34","TripAdvisor Experiences/Viator - EUR"
"#134066711","MADBITES","06:00pm","2022-10-05","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#135475150","BCNBALAM","06:00am","2022-10-06","2","€459.98","€344.98","GetYourGuide - EUR"
"#135035057","BCNBALAM","06:00am","2022-10-06","2","€459.98","€344.98","Civitatis - EUR"
"#141201730","LISSICAS","08:00am","2022-10-06","2","€239.98","€179.98","Civitatis - EUR"
"#141357093","MADTRESC","08:00am","2022-10-06","3","€359.97","€251.97","GetYourGuide - EUR"
"#141089498","MADTRESC","08:00am","2022-10-06","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#139754129","MADTRESC","08:00am","2022-10-06","4","€479.96","€383.96","Airbnb"
"#137310089","MADTRESC","08:00am","2022-10-06","4","€479.96","€383.96","Airbnb"
"#136479247","MADTRESC","08:00am","2022-10-06","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#140970931","LISTRESC","08:00am","2022-10-06","2","€199.98","€149.98","GetYourGuide - EUR"
"#140990486","MADDUERO","08:00am","2022-10-06","3","€509.97","€375.84","TripAdvisor Experiences/Viator - EUR"
"#139392057","MADDUERO","08:00am","2022-10-06","2","€339.98","€271.98","Airbnb"
"#134647593","MADDUERO","08:00am","2022-10-06","2","€339.98","€254.98","Activities Bank (HotelBeds)"
"#140856765","BCNMOHAM","08:30am","2022-10-06","2","€119.98","€77.98","GetYourGuide - EUR"
"#119466372","BCNMOHAM","08:30am","2022-10-06","1","€56.99","€39.89","GetYourGuide - EUR"
"#138934626","BCNMORAM/PM","08:30am","2022-10-06","1","€98.99","€82.49","Klook - EUR"
"#138325113","BCNMORAM/PM","08:30am","2022-10-06","2","€219.98","€164.98","GetYourGuide - EUR"
"#137090889","BCNMORAM/PM","08:30am","2022-10-06","1","€109.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#141116320","PR-BCNMORAM/PM","08:30am","2022-10-06","1","€1,290.00","€1,290.00","Direct"
"#137881832","LISSKYAM","09:00am","2022-10-06","1","€119.99","€88.43","TripAdvisor Experiences/Viator - EUR"
"#141208853","BCNPENAM/PM","09:00am","2022-10-06","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#141091502","BCNPENAM/PM","09:00am","2022-10-06","2","€219.98","€175.98","Airbnb"
"#138706825","BCNPENAM/PM","09:00am","2022-10-06","2","€219.98","€164.98","Activities Bank (HotelBeds)"
"#133356772","BCNPENAM/PM","09:00am","2022-10-06","4","€399.96","€307.96","TripAdvisor Experiences/Viator - EUR"
"#129432119","BCNPENAM/PM","09:00am","2022-10-06","4","€399.96","€279.96","TripAdvisor Experiences/Viator - EUR"
"#132285057","MADTOWIN","09:00am","2022-10-06","4","€319.96","€223.96","GetYourGuide - EUR"
"#138915403","PR-BCNPENMO","09:00am","2022-10-06","1","€1,506.00","€1,280.10","Tours for You"
"#133702453","BCNSKYAM/PM","09:30am","2022-10-06","1","€129.99","€95.80","TripAdvisor Experiences/Viator - EUR"
"#122920911","BCNSKYAM/PM","09:30am","2022-10-06","3","€389.97","€287.40","TripAdvisor Experiences/Viator - EUR"
"#108567036","PR-BCNDALGI","09:30am","2022-10-06","1","€770.00","€654.50","Tours for You"
"#136754372","BCNEBIAM/PM","10:00am","2022-10-06","1","€59.99","€45.59","GetYourGuide - EUR"
"#135822980","BCNEBIAM/PM","10:00am","2022-10-06","2","€119.98","€91.18","GetYourGuide - EUR"
"#135822929","BCNEBIAM/PM","10:00am","2022-10-06","2","€119.98","€91.18","GetYourGuide - EUR"
"#131790665","PR-BCNGAUAM/PM","10:00am","2022-10-06","1","€640.00","€480.00","Gateways International"
"#140964486","BCNALESA/PM","10:00am","2022-10-06","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#140860282","BCNALESA/PM","10:00am","2022-10-06","2","€223.18","€169.62","Expedia.com - EUR"
"#139475916","BCNALESA/PM","10:00am","2022-10-06","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#139455849","BCNALESA/PM","10:00am","2022-10-06","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#139156348","LISCASSA","10:30am","2022-10-06","2","€199.98","€159.98","Airbnb"
"#139262550","BCNMOOIL","10:45am","2022-10-06","3","€249.97","€174.97","GetYourGuide - EUR"
"#138945843","BCNMOOIL","10:45am","2022-10-06","2","€169.98","€118.98","GetYourGuide - EUR"
"#138459738","BCNMOOIL","10:45am","2022-10-06","7","€594.93","€416.43","GetYourGuide - EUR"
"#136139039","BCNMOOIL","10:45am","2022-10-06","2","€169.98","€118.98","GetYourGuide - EUR"
"#130619710","BCNMOOIL","10:45am","2022-10-06","4","€339.96","€237.96","GetYourGuide - EUR"
"#129459357","BCNMOOIL","10:45am","2022-10-06","2","€169.98","€118.98","GetYourGuide - EUR"
"#137295895","MADEBIAM/PM","11:00am","2022-10-06","2","€79.98","€58.94","TripAdvisor Experiences/Viator - EUR"
"#141231534","TM-MADESPXX","04:00pm","2022-10-06","1","€353.00","€353.00","Hotel The Madrid Edition"
"#139160846","MADBITES","06:00pm","2022-10-06","2","€149.98","€119.98","Airbnb"
"#111290421","BCNBOFLA","06:00pm","2022-10-06","2","€159.98","€119.98","Expedia.com - EUR"
"#111242048","BCNBOFLA","06:00pm","2022-10-06","2","€159.98","€119.98","Expedia.com - EUR"
"#111175369","BCNBOFLA","06:00pm","2022-10-06","2","€159.98","€119.98","Expedia.com - EUR"
"#111174856","BCNBOFLA","06:00pm","2022-10-06","2","€159.98","€119.98","Expedia.com - EUR"
"#111021502","BCNBOFLA","06:00pm","2022-10-06","2","€159.98","€119.98","Expedia.com - EUR"
"#111020630","BCNBOFLA","06:00pm","2022-10-06","2","€159.98","€119.98","Expedia.com - EUR"
"#111020054","BCNBOFLA","06:00pm","2022-10-06","2","€159.98","€119.98","Expedia.com - EUR"
"#139581192","TM-BCNESPXX","07:00pm","2022-10-06","1","€425.00","€361.25","Tours for You"
"#137842487","MADSEBAL","06:00am","2022-10-07","2","€519.98","€381.76","TripAdvisor Experiences/Viator - EUR"
"#138503866","BCNBALAM","06:00am","2022-10-07","2","€459.98","€339.00","TripAdvisor Experiences/Viator - EUR"
"#141397399","MADTRESC","08:00am","2022-10-07","3","€339.97","€250.55","TripAdvisor Experiences/Viator - EUR"
"#141312500","MADTRESC","08:00am","2022-10-07","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141291736","MADTRESC","08:00am","2022-10-07","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#141128320","MADTRESC","08:00am","2022-10-07","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140021150","MADTRESC","08:00am","2022-10-07","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#139271455","MADTRESC","08:00am","2022-10-07","2","€239.98","€179.98","Activities Bank (HotelBeds)"
"#141405436","MADDUERO","08:00am","2022-10-07","2","€339.98","€254.98","GetYourGuide - EUR"
"#140318520","LISTRESC","08:00am","2022-10-07","1","€99.99","€74.99","GetYourGuide - EUR"
"#141273305","BCNMOHAM","08:30am","2022-10-07","2","€119.98","€77.98","GetYourGuide - EUR"
"#141018671","BCNMOHAM","08:30am","2022-10-07","1","€59.99","€38.99","GetYourGuide - EUR"
"#141018468","BCNMOHAM","08:30am","2022-10-07","2","€119.98","€77.98","GetYourGuide - EUR"
"#139626531","BCNMOHAM","08:30am","2022-10-07","1","€59.99","€38.99","GetYourGuide - EUR"
"#139151116","BCNMOHAM","08:30am","2022-10-07","2","€119.98","€77.98","GetYourGuide - EUR"
"#139124580","BCNMORAM/PM","08:30am","2022-10-07","1","€109.99","€82.49","GetYourGuide - EUR"
"#120662112","BCNMORAM/PM","08:30am","2022-10-07","3","€299.97","€221.07","TripAdvisor Experiences/Viator - EUR"
"#140358423","BCNPENAM/PM","09:00am","2022-10-07","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#140195249","BCNPENAM/PM","09:00am","2022-10-07","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#139977213","BCNPENAM/PM","09:00am","2022-10-07","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#139700982","BCNPENAM/PM","09:00am","2022-10-07","5","€499.95","€384.95","TripAdvisor Experiences/Viator - EUR"
"#139271315","BCNPENAM/PM","09:00am","2022-10-07","4","€439.96","€351.96","Airbnb"
"#131214019","BCNPENAM/PM","09:00am","2022-10-07","2","€199.98","€139.98","GetYourGuide - EUR"
"#129612340","MADTOWIN","09:00am","2022-10-07","3","€239.97","€167.97","TripAdvisor Experiences/Viator - EUR"
"#139341159","BCNSKYAM/PM","09:30am","2022-10-07","4","€499.96","€389.96","Civitatis - EUR"
"#135445533","BCNSKYAM/PM","09:30am","2022-10-07","3","€369.97","€281.17","GetYourGuide - EUR"
"#126719113","BCNSKYAM/PM","09:30am","2022-10-07","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#140278509","PR-BCNSKYAM/PM","09:30am","2022-10-07","2","€442.00","€325.74","TripAdvisor Experiences/Viator - EUR"
"#141231886","TM-MADESPXX","09:30am","2022-10-07","1","€468.00","€468.00","Hotel The Madrid Edition"
"#127165199","CORSPECIAL","09:30am","2022-10-07","1","€0.00","€0.00",""
"#138915683","PR-BCNDALGI","09:30am","2022-10-07","1","€1,020.00","€867.00","Tours for You"
"#108567096","TM-BCNESPXX","10:00am","2022-10-07","1","€160.00","€0.00","Tours for You"
"#132676398","BCNEBIAM/PM","10:00am","2022-10-07","4","€239.96","€176.84","TripAdvisor Experiences/Viator - EUR"
"#127165107","CORSPECIAL","10:00am","2022-10-07","1","€0.00","€0.00",""
"#141296353","BCNALESA/PM","10:00am","2022-10-07","6","€679.19","€664.03",""
"#141004778","BCNALESA/PM","10:00am","2022-10-07","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#140673436","BCNALESA/PM","10:00am","2022-10-07","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#138444526","BCNALESA/PM","10:00am","2022-10-07","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#138376174","BCNALESA/PM","10:00am","2022-10-07","1","€119.99","€85.19","TripAdvisor Experiences/Viator - EUR"
"#137609758","BCNALESA/PM","10:00am","2022-10-07","11","€1,319.89","€937.09","TripAdvisor Experiences/Viator - EUR"
"#137278702","BCNALESA/PM","10:00am","2022-10-07","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#132484423","BCNALESA/PM","10:00am","2022-10-07","1","€119.99","€85.19","TripAdvisor Experiences/Viator - EUR"
"#131790680","PR-BCNMOOIL","10:00am","2022-10-07","1","€990.00","€742.50","Gateways International"
"#141222027","BCNMOOIL","10:45am","2022-10-07","3","€254.97","€178.47","GetYourGuide - EUR"
"#141082128","BCNMOOIL","10:45am","2022-10-07","4","€339.96","€237.96","GetYourGuide - EUR"
"#140552773","BCNMOOIL","10:45am","2022-10-07","3","€224.97","€165.78","TripAdvisor Experiences/Viator - EUR"
"#140122700","BCNMOOIL","10:45am","2022-10-07","4","€219.97","€162.10","TripAdvisor Experiences/Viator - EUR"
"#139327069","BCNMOOIL","10:45am","2022-10-07","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#139156267","BCNMOOIL","10:45am","2022-10-07","2","€149.98","€112.48","Activities Bank (HotelBeds)"
"#138036452","BCNMOOIL","10:45am","2022-10-07","4","€269.96","€224.96","Klook - EUR"
"#136731178","BCNMOOIL","10:45am","2022-10-07","4","€299.96","€221.04","TripAdvisor Experiences/Viator - EUR"
"#140995625","BCNHEL06","11:30am","2022-10-07","3","€284.97","€210.00","TripAdvisor Experiences/Viator - EUR"
"#120558461","TM-BCNESPXX","02:20pm","2022-10-07","1","€90.00","€76.50","Tours for You"
"#141408325","BCNSKYAM/PM","03:00pm","2022-10-07","5","€649.95","€479.00","TripAdvisor Experiences/Viator - EUR"
"#139808678","BCNSKYAM/PM","03:00pm","2022-10-07","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#136090663","BCNTPFUN","06:00pm","2022-10-07","2","€199.98","€147.58","TripAdvisor Experiences/Viator - EUR"
"#139271419","BCNBOFLA","06:00pm","2022-10-07","1","€84.99","€62.72","TripAdvisor Experiences/Viator - EUR"
"#135948014","BCNBOFLA","06:00pm","2022-10-07","2","€135.98","€106.06","Project Expedition - EUR"
"#135526784","BCNBOFLA","06:00pm","2022-10-07","2","€169.98","€127.48","Activities Bank (HotelBeds)"
"#141403357","MADBITES","06:00pm","2022-10-07","2","€149.98","€112.48","GetYourGuide - EUR"
"#141198920","MADBITES","06:00pm","2022-10-07","2","€149.98","€110.52","TripAdvisor Experiences/Viator - EUR"
"#140609660","MADBITES","06:00pm","2022-10-07","2","€149.98","€112.48","Activities Bank (HotelBeds)"
"#124278255","MADBITES","06:00pm","2022-10-07","4","€299.96","€254.96","Just Explore"
"#140984078","MADTAFLA","06:00pm","2022-10-07","1","€79.99","€63.99","Airbnb"
"#138403836","MADTAFLA","06:00pm","2022-10-07","2","€159.98","€119.98","GetYourGuide - EUR"
"#120560715","PR-BCNGOUTP","07:00pm","2022-10-07","1","€520.00","€442.00","Tours for You"
"#122119488","LISSICRO","08:00am","2022-10-08","2","€199.98","€0.00","Gateways International"
"#141182038","MADTRESC","08:00am","2022-10-08","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140345771","MADTRESC","08:00am","2022-10-08","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#138570756","MADTRESC","08:00am","2022-10-08","2","€239.98","€167.98","GetYourGuide - EUR"
"#137279288","MADTRESC","08:00am","2022-10-08","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#137261869","MADTRESC","08:00am","2022-10-08","3","€359.97","€265.29","TripAdvisor Experiences/Viator - EUR"
"#134216269","MADTRESC","08:00am","2022-10-08","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#133111859","MADTRESC","08:00am","2022-10-08","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#128708192","MADTRESC","08:00am","2022-10-08","5","€599.95","€442.15","TripAdvisor Experiences/Viator - EUR"
"#127597420","MADTRESC","08:00am","2022-10-08","6","€719.94","€530.58","TripAdvisor Experiences/Viator - EUR"
"#140789367","MADDUERO","08:00am","2022-10-08","2","€339.98","€237.98","TripAdvisor Experiences/Viator - EUR"
"#136669447","MADDUERO","08:00am","2022-10-08","2","€339.98","€237.98","TripAdvisor Experiences/Viator - EUR"
"#141406818","LISTRESC","08:00am","2022-10-08","1","€99.99","€74.99","GetYourGuide - EUR"
"#141296474","LISTRESC","08:00am","2022-10-08","3","€299.97","€219.87","TripAdvisor Experiences/Viator - EUR"
"#135191432","BCNMOHAM","08:30am","2022-10-08","1","€59.99","€0.00","Activities Bank (HotelBeds)"
"#139138229","BCNPENAM/PM","09:00am","2022-10-08","2","€219.98","€153.98","GetYourGuide - EUR"
"#138576223","BCNPENAM/PM","09:00am","2022-10-08","5","€549.95","€439.95","Airbnb"
"#138397195","BCNPENAM/PM","09:00am","2022-10-08","3","€299.97","€230.97","TripAdvisor Experiences/Viator - EUR"
"#137751410","BCNPENAM/PM","09:00am","2022-10-08","4","€399.96","€307.96","TripAdvisor Experiences/Viator - EUR"
"#133134579","BCNPENAM/PM","09:00am","2022-10-08","2","€219.98","€175.98","Airbnb"
"#140715957","MADTOWIN","09:00am","2022-10-08","1","€79.99","€55.99","GetYourGuide - EUR"
"#140714534","MADTOWIN","09:00am","2022-10-08","1","€79.99","€55.99","GetYourGuide - EUR"
"#140629948","MADTOWIN","09:00am","2022-10-08","1","€79.99","€55.99","GetYourGuide - EUR"
"#140628909","MADTOWIN","09:00am","2022-10-08","1","€79.99","€55.99","GetYourGuide - EUR"
"#139784079","MADTOWIN","09:00am","2022-10-08","8","€639.92","€447.92","TripAdvisor Experiences/Viator - EUR"
"#141244931","BCNSKYAM/PM","09:30am","2022-10-08","1","€129.99","€95.80","TripAdvisor Experiences/Viator - EUR"
"#140297048","BCNSKYAM/PM","09:30am","2022-10-08","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#139789340","BCNSKYAM/PM","09:30am","2022-10-08","11","€1,429.89","€1,053.80","TripAdvisor Experiences/Viator - EUR"
"#139553736","BCNSKYAM/PM","09:30am","2022-10-08","3","€389.97","€304.17","Civitatis - EUR"
"#138075332","BCNSKYAM/PM","09:30am","2022-10-08","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#136269741","BCNSKYAM/PM","09:30am","2022-10-08","2","€259.98","€207.98","Musement - EUR"
"#136183251","BCNSKYAM/PM","09:30am","2022-10-08","2","€259.98","€191.60","TripAdvisor Experiences/Viator - EUR"
"#141232123","TM-MADESPXX","09:30am","2022-10-08","1","€484.00","€484.00","Hotel The Madrid Edition"
"#138916192","PR-BCNCBR","09:30am","2022-10-08","1","€680.00","€578.00","Tours for You"
"#141313415","BCNEBIAM/PM","10:00am","2022-10-08","8","€479.92","€353.68","TripAdvisor Experiences/Viator - EUR"
"#139598490","BCNEBIAM/PM","10:00am","2022-10-08","1","€59.99","€45.59","GetYourGuide - EUR"
"#137141332","BCNEBIAM/PM","10:00am","2022-10-08","4","€239.96","€176.84","TripAdvisor Experiences/Viator - EUR"
"#137105347","BCNEBIAM/PM","10:00am","2022-10-08","2","€119.98","€88.42","TripAdvisor Experiences/Viator - EUR"
"#136052430","BCNEBIAM/PM","10:00am","2022-10-08","1","€59.99","€44.99","Shore Excursions Group (EURO)"
"#131620050","BCNEBIAM/PM","10:00am","2022-10-08","7","€419.93","€319.13","GetYourGuide - EUR"
"#141212938","BCNALESA/PM","10:00am","2022-10-08","2","€239.98","€182.38","GetYourGuide - EUR"
"#140656455","BCNALESA/PM","10:00am","2022-10-08","4","€479.96","€340.76","TripAdvisor Experiences/Viator - EUR"
"#140376757","BCNALESA/PM","10:00am","2022-10-08","10","€1,199.90","€851.90","TripAdvisor Experiences/Viator - EUR"
"#140300184","BCNALESA/PM","10:00am","2022-10-08","4","€479.96","€340.76","TripAdvisor Experiences/Viator - EUR"
"#137176058","BCNALESA/PM","10:00am","2022-10-08","2","€239.98","€170.38","TripAdvisor Experiences/Viator - EUR"
"#141305288","BCNALEFD","10:00am","2022-10-08","1","€86.99","€64.11","TripAdvisor Experiences/Viator - EUR"
"#140935681","BCNALEFD","10:00am","2022-10-08","3","€260.97","€192.33","TripAdvisor Experiences/Viator - EUR"
"#140692756","BCNALEFD","10:00am","2022-10-08","3","€260.97","€195.72","GetYourGuide - EUR"
"#140446401","BCNALEFD","10:00am","2022-10-08","2","€173.98","€128.22","TripAdvisor Experiences/Viator - EUR"
"#132308273","BCNALEFD","10:00am","2022-10-08","2","€173.98","€128.22","TripAdvisor Experiences/Viator - EUR"
"#124278728","MADTOLFD","10:00am","2022-10-08","2","€279.98","€237.98","Just Explore"
"#120561848","TM-BCNGOFTR","10:00am","2022-10-08","1","€1,160.00","€857.50","Tours for You"
"#140985339","LISEBIAM","10:30am","2022-10-08","18","€899.82","€674.82","GetYourGuide - EUR"
"#140620102","BCNMOOIL","10:45am","2022-10-08","3","€249.97","€174.97","GetYourGuide - EUR"
"#140583312","BCNMOOIL","10:45am","2022-10-08","2","€169.98","€125.26","TripAdvisor Experiences/Viator - EUR"
"#138824784","BCNMOOIL","10:45am","2022-10-08","1","€79.99","€59.99","Activities Bank (HotelBeds)"
"#109808440","BCNMOOIL","10:45am","2022-10-08","2","€139.98","€104.98","Civitatis - EUR"
"#141080555","MADEBIAM/PM","11:00am","2022-10-08","4","€159.96","€117.88","TripAdvisor Experiences/Viator - EUR"
"#141147991","MADBITES","11:30am","2022-10-08","2","€149.98","€119.98","Airbnb"
"#124765369","PR-BCNLUIPM","06:00pm","2022-10-08","1","€440.00","€0.00","Direct"
"#141092069","BCNBOFLA","06:00pm","2022-10-08","2","€169.98","€135.98","Airbnb"
"#140481549","BCNBOFLA","06:00pm","2022-10-08","2","€169.98","€125.44","TripAdvisor Experiences/Viator - EUR"
"#133921979","BCNBOFLA","06:00pm","2022-10-08","1","€84.99","€63.74","Activities Bank (HotelBeds)"
"#141080672","MADBITES","06:00pm","2022-10-08","4","€299.96","€221.04","TripAdvisor Experiences/Viator - EUR"
"#140524115","MADBITES","06:00pm","2022-10-08","1","€74.99","€56.24","Activities Bank (HotelBeds)"
"#140000036","MADBITES","06:00pm","2022-10-08","1","€74.99","€56.24","GetYourGuide - EUR"
"#121070192","MADBITES","06:00pm","2022-10-08","14","€1,049.86","€773.64","TripAdvisor Experiences/Viator - EUR"
"#140022103","LISSICRO","08:00am","2022-10-09","2","€199.98","€159.98","Airbnb"
"#140160110","MADVALLE","08:00am","2022-10-09","2","€199.98","€149.98","The Tour Guy"
"#137924336","MADVALLE","08:00am","2022-10-09","3","€299.97","€224.97","GetYourGuide - EUR"
"#140704847","MADTRESC","08:00am","2022-10-09","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#140360863","MADTRESC","08:00am","2022-10-09","6","€719.94","€530.58","TripAdvisor Experiences/Viator - EUR"
"#139700279","MADTRESC","08:00am","2022-10-09","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#139576321","MADTRESC","08:00am","2022-10-09","4","€479.96","€335.96","GetYourGuide - EUR"
"#139071661","MADTRESC","08:00am","2022-10-09","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#136667587","MADTRESC","08:00am","2022-10-09","2","€239.98","€167.98","GetYourGuide - EUR"
"#133907633","MADTRESC","08:00am","2022-10-09","2","€239.98","€176.86","TripAdvisor Experiences/Viator - EUR"
"#141387014","LISTRESC","08:00am","2022-10-09","1","€99.99","€74.99","GetYourGuide - EUR"
"#140910214","BCNMOHAM","08:30am","2022-10-09","1","€69.99","€37.79","TripAdvisor Experiences/Viator - EUR"
"#106233451","BCNMOHAM","08:30am","2022-10-09","2","€113.98","€91.18","Portugal Trails"
"#141069268","BCNPENAM/PM","09:00am","2022-10-09","2","€199.98","€153.98","TripAdvisor Experiences/Viator - EUR"
"#140686116","BCNPENAM/PM","09:00am","2022-10-09","4","€399.96","€307.96","TripAdvisor Experiences/Viator - EUR"
